Algorithm,File Type,MTF,BWT,Compression Ratio mean,Compression Ratio std,Encoding Speed mean,Encoding Speed std
RLE,txt,True,True,0.9418656203004263,0.008338894168366287,0.015851158376897382,0.00015682621981689818
RLE,txt,True,False,1.0012364402974614,0.0031077253956276374,0.000542300440622595,1.7823198974165434e-05
RLE,txt,False,True,0.9078752902439319,0.004713454179742691,0.015666499542650737,0.00016392298238104223
RLE,txt,False,False,1.0056622528945733,0.003477956389277698,0.00015202082393022662,4.2244574934961655e-06
RLE,pdf,True,True,0.9655251069759976,0.046057800435403425,0.015511175736826532,0.00044836160743313633
RLE,pdf,True,False,0.9865605119629615,0.022841958356315438,0.0013641974108966697,9.786853138050555e-05
RLE,pdf,False,True,0.9566521914852453,0.05339698422736987,0.014533147673416787,0.00045330774919436775
RLE,pdf,False,False,0.9937668440728483,0.020673139402189972,0.00015530628661594454,7.19836964141051e-06
RLE,png,True,True,1.0062145936163234,0.007876943084847364,0.015742076299562792,0.0006390738302434514
RLE,png,True,False,1.0040880054314754,0.007777822571849252,0.001448028450937824,3.235493114676447e-05
RLE,png,False,True,1.0047123887507803,0.009258503637014118,0.014393486869663933,0.0006044191605966165
RLE,png,False,False,1.007253761368374,0.00040675038668209687,0.0001495673647576723,4.992773498538144e-06
RLE,jpg,True,True,0.9999801173125938,0.013569887443269132,0.01600591663232164,0.00042109935267675854
RLE,jpg,True,False,1.0003376316696997,0.009374941650025533,0.0014242665150996136,4.062533528215413e-05
RLE,jpg,False,True,0.997325992638878,0.016268698752421335,0.014607950899993637,0.00034560779535251974
RLE,jpg,False,False,1.002651761286834,0.00798041966952055,0.00014652475344847162,7.956403679328793e-06
RLE,mp3,True,True,0.9833334643625036,0.004870736103840449,0.01614806428559126,0.00023071985327074087
RLE,mp3,True,False,0.98046474949033,0.004970863135516036,0.001426092612062982,7.955457605886771e-06
RLE,mp3,False,True,0.9826287098896848,0.004925203500945961,0.014741308664855129,0.0002942720429691184
RLE,mp3,False,False,0.9795633411929263,0.005007412790099925,0.00014765021718365443,3.2621498894081447e-07
RLE,exe,True,True,0.8103055618378803,0.10299777383315475,0.015344614674193936,0.00031189325842437705
RLE,exe,True,False,0.9499578459377381,0.02929302365607435,0.000916918321518222,0.00027604491531413826
RLE,exe,False,True,0.7747524605304617,0.1207955274943881,0.014721428291891332,0.0005963758711244138
RLE,exe,False,False,0.9599874922835482,0.029958995384548704,0.00015411427671344305,4.834110188719769e-06
Huffman,txt,True,True,0.5146086837781382,0.01723457544282061,0.01660174522466836,7.05505046477906e-05
Huffman,txt,True,False,0.6188982282144112,0.016139019066453916,0.0018242282975000988,4.4504377082510303e-05
Huffman,txt,False,True,0.5759756618004287,0.010020675706671296,0.016508964088658602,7.157116556528255e-05
Huffman,txt,False,False,0.5695763493515918,0.012747765628379384,0.0014013210780417314,0.00011992435305829623
Huffman,pdf,True,True,0.9687852356040688,0.043885072228108606,0.017213255820991476,0.00035409137170041893
Huffman,pdf,True,False,0.9886576891419068,0.019945647072260007,0.003352163863317021,0.00014137203897300873
Huffman,pdf,False,True,0.993576194226188,0.019094881045358184,0.017024656967672948,0.0007896899911346136
Huffman,pdf,False,False,0.9900193712254811,0.018644192606446255,0.0021864224907888774,3.6360158850186874e-05
Huffman,png,True,True,1.01841445957345,0.019399664766433587,0.018045597608199897,0.0007769792250253236
Huffman,png,True,False,1.0151400768235368,0.014958875518017794,0.003498424990819962,3.856306166679522e-05
Huffman,png,False,True,1.0210452273557298,0.02056609133474239,0.016678149789321067,0.0009891699468898302
Huffman,png,False,False,1.0145196923838868,0.015021771650553607,0.002207151920030206,2.5273895938683235e-05
Huffman,jpg,True,True,1.0122405016782356,0.019458621734040456,0.017869008681867252,0.0003947152588407292
Huffman,jpg,True,False,1.011055654380781,0.013369672005006739,0.003463616801025154,3.700872442688354e-05
Huffman,jpg,False,True,1.017885402220824,0.018953758166779057,0.016623705604229357,0.00044401594253775197
Huffman,jpg,False,False,1.0112752074615798,0.01432763549722994,0.0022552884302596992,7.590510273474095e-05
Huffman,mp3,True,True,0.9954856309401943,0.0018660696773528437,0.01825965294678997,0.00025765223542815454
Huffman,mp3,True,False,0.9925147078686208,0.0019591813163078987,0.0034571507480147183,4.728916277206018e-05
Huffman,mp3,False,True,0.995747704336019,0.0013837757454614043,0.016487398789820043,0.00011179636802457651
Huffman,mp3,False,False,0.9937758786237015,0.0013813233442718528,0.0021653545307973327,8.115990738313591e-06
Huffman,exe,True,True,0.687153474139226,0.17470639613509492,0.016550895632272678,0.00017812518248186434
Huffman,exe,True,False,0.8346127708105835,0.09521764613408165,0.002619060328740238,0.00046722885069643753
Huffman,exe,False,True,0.8590533685774796,0.08373750560732235,0.016166767632172067,0.0004286010886989978
Huffman,exe,False,False,0.8571032267954594,0.08370385883107344,0.0018966812721524322,0.00016244197948893724
