Algorithm,File Type,MTF,BWT,Compression Ratio mean,Compression Ratio std,Encoding Speed mean,Encoding Speed std
LZW,txt,True,True,0.5713641521503087,0.01709328900858014,0.017603986766969594,0.0002426801871921183
LZW,txt,True,False,0.6927107989961092,0.013243289537951067,0.0028526031082288486,9.750754793098281e-05
LZW,txt,False,True,0.5321548188491211,0.022581661504724307,0.016815620830369544,0.00010886792379021385
LZW,txt,False,False,0.36939298542655746,0.04533984671840053,0.001501170937871,9.063264654153855e-05
LZW,pdf,True,True,1.1986966045383445,0.08756076112829968,0.01891968277742523,0.0003902347846967762
LZW,pdf,True,False,1.2171507260165058,0.06654456578981043,0.00511380892358998,0.000438374409734244
LZW,pdf,False,True,1.2039129459710884,0.0769721814534522,0.017657348568424002,0.0004384508694971114
LZW,pdf,False,False,1.1939789920438741,0.07538254328985688,0.003861026549699502,0.0003850589098393958
LZW,png,True,True,1.343546437408546,0.0842862478436388,0.019785445902577973,0.0011245666385748666
LZW,png,True,False,1.343206681998172,0.0864487186656854,0.005795592317115157,0.0005863698024588825
LZW,png,False,True,1.3382027293058885,0.07998519827177898,0.018545609635251724,0.0011066397039726282
LZW,png,False,False,1.3025690405128822,0.05951403047165003,0.00436971526687653,0.0004799635396341966
LZW,jpg,True,True,1.317516030266722,0.06823025064411539,0.019846799009826232,0.000779096304727821
LZW,jpg,True,False,1.3195176226209522,0.06445538260080168,0.005829633516620312,0.00055715795768852
LZW,jpg,False,True,1.3159270742718858,0.06626800016313222,0.018940279715880436,0.0008127568990801607
LZW,jpg,False,False,1.2867688203873768,0.06606239779607076,0.004670957313315678,0.0004880338416669889
LZW,mp3,True,True,1.1963820973980335,0.0061475921441226985,0.019854383282262907,0.0001856882269634446
LZW,mp3,True,False,1.1930257763877812,0.006243408636495436,0.005000616917662094,3.364377303188942e-05
LZW,mp3,False,True,1.1932446356940574,0.006939368267953877,0.018798880903515516,0.00013665926112348755
LZW,mp3,False,False,1.182102368837139,0.0069402184591423185,0.003663854662476552,3.127367342793503e-05
LZW,exe,True,True,0.8697797275584025,0.32434037683559874,0.018550108689667753,0.0007897918791967334
LZW,exe,True,False,1.0646562583402885,0.22432840981860122,0.003938690047904594,0.0008620834159511412
LZW,exe,False,True,0.9409682418108353,0.306634614385185,0.017224130720589568,0.00031043534497349933
LZW,exe,False,False,1.1141912741393465,0.27543995452516307,0.0032676044303153813,0.0007068951563426174
